,artist_name,track_name,track_id,popularity,url,images,date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
6351,The Mighty Mighty Bosstones,All Things Considered,31VRLOKHLQm3DdXThQ9zOh,24,https://open.spotify.com/track/31VRLOKHLQm3DdXThQ9zOh,https://i.scdn.co/image/6bbfbe8f46514ff9bfe575984ff34b161519c9bb,2000-01-01,0.0163,0.66,241627,0.879,0.018,4,0.235,-3.002,1,0.0333,137.354,4,0.854
6352,Mark Knopfler,Do America,35wlkUqgimEHR8m1weupnk,20,https://open.spotify.com/track/35wlkUqgimEHR8m1weupnk,https://i.scdn.co/image/d3f91fc55dbfd20fe11e8c6c3472caafd230d109,2000-09-26,0.201,0.595,252440,0.768,0.0646,2,0.0687,-7.154,1,0.0314,98.128,4,0.792
6353,Roy Rogers,Don't Fence Me In,3FUL2VqnKPvpuRLvUQozn1,22,https://open.spotify.com/track/3FUL2VqnKPvpuRLvUQozn1,https://i.scdn.co/image/3c546e86dc36febc4ecaf8efebec25d0f4bc9ca1,2000-01-01,0.979,0.65,172013,0.202,0.000858,4,0.0713,-12.128,1,0.0452,138.223,4,0.844
6354,The Black Crowes,Only A Fool,3QR5FHzCMN6rSHgt4m2Wdc,21,https://open.spotify.com/track/3QR5FHzCMN6rSHgt4m2Wdc,https://i.scdn.co/image/9567cd8a74ae3169a6bbef3ef7289c54019f6764,2000-01-01,0.244,0.514,224000,0.762,0.000442,0,0.265,-3.364,1,0.0429,187.837,4,0.83
6355,Jules Massenet,"Massenet: Manon, Act 3 Tableau 1 Scene 4: ""Obéissons, quand leur voix appelle … Profitons bien de la jeunesse"" (Manon, Brétigny, Chorus) - Gavotte",3VC3fi0Iz3cV1dtsDLwoII,31,https://open.spotify.com/track/3VC3fi0Iz3cV1dtsDLwoII,https://i.scdn.co/image/2509608102e5d43b94a86bc93ea50d97b67cfc39,2000,0.973,0.296,189760,0.0627,3.12e-05,7,0.757,-20.764,1,0.0994,175.841,4,0.067
6356,Ricardo Arjona,Lo Poco Que Queda de Mí,3WzKslCB7JzYmAdfo8b0Qw,37,https://open.spotify.com/track/3WzKslCB7JzYmAdfo8b0Qw,https://i.scdn.co/image/dab24d62e6f80630df8b0d4c6c8e92092104ccd2,2000,0.223,0.73,296080,0.78,0.000462,8,0.0838,-4.926,1,0.0274,140.573,4,0.839
6357,Snoop Dogg,Ready 2 Ryde,3d55Tng6iYA2M19taXnFq7,28,https://open.spotify.com/track/3d55Tng6iYA2M19taXnFq7,https://i.scdn.co/image/0959d922a12e8b7fec9d09324f5b92b1d74204f3,2000,0.117,0.643,261467,0.751,0.0,11,0.224,-6.175,0,0.318,98.632,4,0.541
6358,Osker,Panic,3rIzcbx9QJsKtLkYicfkMv,25,https://open.spotify.com/track/3rIzcbx9QJsKtLkYicfkMv,https://i.scdn.co/image/04676a82a4fe1d36e6f0d6484c908f4459d0f078,2000-02-08,0.000644,0.322,141933,0.947,0.0095,2,0.094,-5.178,1,0.0837,173.907,4,0.849
6359,The Laurie Berkner Band,I'm A Little Snowflake,3rY8AZqQ6swQ8MAoGnxjus,20,https://open.spotify.com/track/3rY8AZqQ6swQ8MAoGnxjus,https://i.scdn.co/image/fc3eaec0ea8e51cdebb4666a0eeee452f6a4adcd,2000,0.854,0.671,67067,0.242,0.0507,9,0.111,-9.971,1,0.0305,109.335,4,0.714
6360,Trina,If U With Me - feat. Mystic Of The Lost Tribe,3s4xWyGeRtYmTf2w1M3fT6,20,https://open.spotify.com/track/3s4xWyGeRtYmTf2w1M3fT6,https://i.scdn.co/image/4ad981eb2cb7c2a2ac89a33533122f28beaa6b7a,2000-01-01,0.0567,0.961,194493,0.729,0.0,6,0.0908,-6.564,1,0.21,110.342,4,0.804
