artist_name,track_name,track_id,popularity,url,images,date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
John Denver,"Take Me Home, Country Roads - Rerecorded",2xYlyywNgefLCRDG8hlxZq,79,https://open.spotify.com/track/2xYlyywNgefLCRDG8hlxZq,https://i.scdn.co/image/37008443bd35f72ff56bb1c67ba4174c12c60837,1997-06-17,0.546,0.255,197813,0.43,1.87e-05,9,0.188,-12.564,1,0.0322,164.267,4,0.546
Third Eye Blind,Semi-Charmed Life,42et6fnHCw1HIPSrdPprMl,75,https://open.spotify.com/track/42et6fnHCw1HIPSrdPprMl,https://i.scdn.co/image/c72892c1974c56210d34b623f6e3ba253366a0e8,1997-04-08,0.00832,0.64,268360,0.864,0.0,7,0.123,-6.576,1,0.0315,102.026,4,0.7
The Notorious B.I.G.,Hypnotize - 2014 Remastered Version,7KwZNVEaqikRSBSpyhXK2j,77,https://open.spotify.com/track/7KwZNVEaqikRSBSpyhXK2j,https://i.scdn.co/image/c864597677050082db88d076070c6ad43189be03,1997-03-04,0.145,0.901,229827,0.697,0.0,9,0.287,-3.439,1,0.28,93.941,4,0.67
Foo Fighters,Everlong,5UWwZ5lm5PKu6eKsHAGxOk,77,https://open.spotify.com/track/5UWwZ5lm5PKu6eKsHAGxOk,https://i.scdn.co/image/b1a27e6445ebaf4f155b195046c827efb0fd0971,1997-05-20,5.96e-05,0.412,250547,0.882,0.00031,11,0.0805,-5.54,0,0.0369,158.066,4,0.356
Green Day,Good Riddance (Time of Your Life),6ORqU0bHbVCRjXm9AjyHyZ,76,https://open.spotify.com/track/6ORqU0bHbVCRjXm9AjyHyZ,https://i.scdn.co/image/851015118292bbee6e0da67750df9782b3f1ec4b,1997-10-14,0.183,0.475,153467,0.432,0.0,7,0.161,-7.844,1,0.0302,94.605,4,0.648
The Notorious B.I.G.,Mo Money Mo Problems (feat. Mase & Puff Daddy) - 2014 Remastered Version,4INDiWSKvqSKDEu7mh8HFz,75,https://open.spotify.com/track/4INDiWSKvqSKDEu7mh8HFz,https://i.scdn.co/image/c864597677050082db88d076070c6ad43189be03,1997-03-04,0.0128,0.845,257400,0.884,2.1e-06,6,0.203,-4.506,0,0.0759,104.536,4,0.904
Sixpence None The Richer,Kiss Me,754kgU5rWscRTfvlsuEwFp,78,https://open.spotify.com/track/754kgU5rWscRTfvlsuEwFp,https://i.scdn.co/image/0b8d304bff71f45140ac116b3217b89546d2806a,1997,0.023,0.526,208680,0.749,1.76e-06,3,0.0692,-6.964,1,0.0283,99.982,4,0.421
The Verve,Bitter Sweet Symphony,57iDDD9N9tTWe75x6qhStw,79,https://open.spotify.com/track/57iDDD9N9tTWe75x6qhStw,https://i.scdn.co/image/cc0639599684454b1ec932a10fddbe77983029ba,1997-09-29,0.0335,0.356,357267,0.917,0.0,9,0.406,-6.006,1,0.0479,171.176,4,0.518
Shania Twain,Man! I Feel Like A Woman!,0IF0vGwaJQ8ZCh0QxhW6OV,75,https://open.spotify.com/track/0IF0vGwaJQ8ZCh0QxhW6OV,https://i.scdn.co/image/6ee9a4af2ea498f043eb7c3d6aaa38ead8138265,1997,0.637,0.678,233000,0.899,0.0,10,0.347,-2.937,1,0.048,124.944,4,0.757
Marcy Playground,Sex & Candy,5mkGfmJGFZpwK9nA5amOhv,70,https://open.spotify.com/track/5mkGfmJGFZpwK9nA5amOhv,https://i.scdn.co/image/3174af1ac017602f1ab56d9dc37d34a24530c5d0,1997-01-01,0.238,0.67,173493,0.558,0.0,2,0.106,-9.159,1,0.0251,80.511,4,0.63
Kenny Loggins,Footloose,6W2VbtvMrDXm5vYeB7amkO,70,https://open.spotify.com/track/6W2VbtvMrDXm5vYeB7amkO,https://i.scdn.co/image/9b42721fe04960acbaebed58f76e8ea66b5b4c92,1997-03-25,0.0819,0.546,220707,0.895,1.42e-05,9,0.0768,-7.189,1,0.0579,174.089,4,0.494
