artist_name,track_name,track_id,popularity,url,images,date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2Pac,2 Of Amerikaz Most Wanted,6S5SJlNXgrUBTLa58NMwGk,55,https://open.spotify.com/track/6S5SJlNXgrUBTLa58NMwGk,https://i.scdn.co/image/43c582cd325743447b21a1ee0946e01daf9ec4a8,1998-01-01,0.0418,0.863,246667,0.881,0.000648,1,0.0512,-3.888,1,0.126,99.255,4,0.842
Hooverphonic,Mad About You,5drK2kTE2mrUdV33iHWyrx,66,https://open.spotify.com/track/5drK2kTE2mrUdV33iHWyrx,https://i.scdn.co/image/3921a56b6a5f56ce0faeac08c69131103dcb4295,1998,0.00109,0.465,223733,0.844,0.399,1,0.0865,-4.352,0,0.0379,170.358,4,0.155
Deborah Cox,Nobody's Supposed to Be Here,51QxenFmXlJXUN9mpvxlaL,56,https://open.spotify.com/track/51QxenFmXlJXUN9mpvxlaL,https://i.scdn.co/image/5ffdc7721ab2555c81ab9b7b9b1ae5f0bf680dc0,1998-09-17,0.202,0.662,262333,0.531,1.16e-05,8,0.595,-5.3,1,0.0361,119.957,4,0.399
Orgy,Blue Monday,5267gVdYWrLoz6ClOhlqmE,59,https://open.spotify.com/track/5267gVdYWrLoz6ClOhlqmE,https://i.scdn.co/image/60ca56f2b7b4dbae3765e5067f8e47914c5fe5f2,1998-08-18,8.65e-05,0.589,267000,0.696,3.43e-05,8,0.0779,-8.109,1,0.034,129.833,4,0.938
Goldfinger,Superman,4X3qGigyU6ARi3HP4lWD95,59,https://open.spotify.com/track/4X3qGigyU6ARi3HP4lWD95,https://i.scdn.co/image/fc156067b93bc557df0c161e1a2bfb95a1540872,1998-01-06,0.000131,0.429,185027,0.937,0.0002,2,0.0807,-3.986,1,0.0573,194.838,4,0.894
Marisela,La Pareja Ideal,5EWN5giv1RoSDNFeEoxqpU,64,https://open.spotify.com/track/5EWN5giv1RoSDNFeEoxqpU,https://i.scdn.co/image/5a6f73e21b5b180cea9937756ededf31bf025fd6,1998,0.636,0.622,213093,0.367,0.0,4,0.126,-12.166,1,0.0362,143.897,4,0.551
Los Temerarios,Botella Envenenada,4j20k2ZmlzHAePpEh3tvFY,57,https://open.spotify.com/track/4j20k2ZmlzHAePpEh3tvFY,https://i.scdn.co/image/e1244bb27d9596d612a6f654731d790d1a7633ee,1998-06-01,0.316,0.611,191333,0.476,3.66e-06,9,0.0939,-7.17,1,0.0301,78.082,4,0.425
Los Temerarios,Por Que Te Conocí,5scw7DWTRzsKzeA05QtCQB,57,https://open.spotify.com/track/5scw7DWTRzsKzeA05QtCQB,https://i.scdn.co/image/e1244bb27d9596d612a6f654731d790d1a7633ee,1998-06-01,0.393,0.651,244693,0.553,0.00691,2,0.154,-10.1,1,0.0269,88.095,4,0.607
Lenny Kravitz,American Woman,3X6iIrFuQoCshIWBseEKPl,63,https://open.spotify.com/track/3X6iIrFuQoCshIWBseEKPl,https://i.scdn.co/image/d1bdb5cca8df0ec0296a0c366f0fae107a15be57,1998-05-12,0.0304,0.688,264560,0.67,0.0,1,0.0782,-7.872,1,0.0971,83.988,4,0.537
David Gray,Babylon,5jLqVCGlKNYrLqCA1Qy4FV,62,https://open.spotify.com/track/5jLqVCGlKNYrLqCA1Qy4FV,https://i.scdn.co/image/f9ade448fb49a3a22f1cbed207fbb78bfaa9f5b7,1998-11-02,0.0598,0.737,265667,0.543,0.01,8,0.103,-10.403,1,0.0374,112.016,4,0.256
Xscape,Softest Place On Earth,19asXa48FNoDzO8PaQm9MN,53,https://open.spotify.com/track/19asXa48FNoDzO8PaQm9MN,https://i.scdn.co/image/ca367bf4bd815fa5f18f7a6e5897fab633dd2ba9,1998,0.415,0.773,256720,0.309,0.00014,7,0.111,-8.5,0,0.0339,128.105,4,0.42
Neutral Milk Hotel,Two-Headed Boy,19Ov4l8mtvCT1iEUKks4aM,56,https://open.spotify.com/track/19Ov4l8mtvCT1iEUKks4aM,https://i.scdn.co/image/e614108e0a6e7393372afc56e6ef9753296b926b,1998-02-20,0.705,0.342,266107,0.613,0.0,7,0.14,-4.084,1,0.0311,145.84,4,0.267
Whitney Houston,It's Not Right But It's Okay,7861kBrZ5aw7o4NfggcyYW,63,https://open.spotify.com/track/7861kBrZ5aw7o4NfggcyYW,https://i.scdn.co/image/dc9589b548cd8e2e36f4f2d3f4069940f199bfb2,1998-11-17,0.162,0.806,292400,0.802,0.000885,1,0.0698,-7.076,1,0.102,127.931,4,0.529
Lynyrd Skynyrd,The Ballad Of Curtis Loew,6VlqvDddRqWOOMKKFR0QGe,54,https://open.spotify.com/track/6VlqvDddRqWOOMKKFR0QGe,https://i.scdn.co/image/12deec11cb37e8d24f39c4d4100c39c427aec65e,1998,0.479,0.443,291267,0.455,1.26e-06,9,0.109,-9.283,1,0.0825,146.541,4,0.617
George Strait,I Just Want To Dance With You,4cdAXfguhQHYFkvuuzye1m,54,https://open.spotify.com/track/4cdAXfguhQHYFkvuuzye1m,https://i.scdn.co/image/41d46b0a8adeef7baeac1eeed1893c1d1a1ae723,1998-01-01,0.454,0.719,210867,0.464,9.1e-05,0,0.102,-8.563,1,0.0276,113.955,4,0.531
Ms. Lauryn Hill,Lost Ones,71XhXay6rKPZCVAaDtFlSR,59,https://open.spotify.com/track/71XhXay6rKPZCVAaDtFlSR,https://i.scdn.co/image/f496cbb77ce5b00a40c9b7fb9d6ce3f946dd6550,1998-08-25,0.0998,0.832,333907,0.749,3.74e-06,2,0.0837,-6.129,1,0.37,94.899,4,0.65
Dixie Chicks,You Were Mine,2qdVHdkLxKntNjPh3Ssz7s,55,https://open.spotify.com/track/2qdVHdkLxKntNjPh3Ssz7s,https://i.scdn.co/image/45dbdddced71acce31cbb125298007e5a5384f43,1998-01-15,0.342,0.542,217807,0.346,0.0,9,0.283,-6.598,1,0.0296,139.856,4,0.173
Gerry Mulligan,Lullaby Of The Leaves - 1998 Digital Remaster,08rTZ8jNknn8VBS3v2o8pT,58,https://open.spotify.com/track/08rTZ8jNknn8VBS3v2o8pT,https://i.scdn.co/image/5b4f33f4fd1b6eda3b48c726dde58f9a47b8ac44,1998-01-01,0.972,0.439,195160,0.082,0.893,0,0.0913,-17.066,1,0.0407,124.69,4,0.492
Lynyrd Skynyrd,Simple Man,1IBk5PttmnPcGnysEwtiXi,55,https://open.spotify.com/track/1IBk5PttmnPcGnysEwtiXi,https://i.scdn.co/image/12deec11cb37e8d24f39c4d4100c39c427aec65e,1998,0.00296,0.433,356960,0.756,0.00166,6,0.268,-8.763,1,0.0443,120.574,4,0.415
James,Laid,2L8kaqJ2YHbKlcX1e1rKnf,60,https://open.spotify.com/track/2L8kaqJ2YHbKlcX1e1rKnf,https://i.scdn.co/image/dbcb962b5483793f6933f0fa3048d806ea20d8a6,1998-01-01,0.0196,0.477,156867,0.965,0.000126,0,0.138,-5.735,1,0.0361,116.251,4,0.642
Ms. Lauryn Hill,Everything Is Everything,7t86fVeDAd63ThaR0ZkxXS,59,https://open.spotify.com/track/7t86fVeDAd63ThaR0ZkxXS,https://i.scdn.co/image/f496cbb77ce5b00a40c9b7fb9d6ce3f946dd6550,1998-08-25,0.415,0.824,293267,0.707,0.0,9,0.106,-7.893,1,0.285,94.708,4,0.847
Godsmack,Keep Away,1lrwHbZhCXUhb7zI0VcIPA,55,https://open.spotify.com/track/1lrwHbZhCXUhb7zI0VcIPA,https://i.scdn.co/image/b72b0daa66dd854afc588e7f1d38d2c9b54d320a,1998-01-01,7.68e-05,0.313,290067,0.904,0.00519,7,0.0993,-5.185,1,0.0806,98.61,4,0.543
The Flys,Got You (Where I Want You),1xpd5XqLsrQDBa81ON2kOb,54,https://open.spotify.com/track/1xpd5XqLsrQDBa81ON2kOb,https://i.scdn.co/image/bf9598fccdf062ef9be0aed72f847d8dfb592d8c,1998,0.000405,0.47,242453,0.644,0.293,8,0.134,-6.721,1,0.0269,75.597,4,0.521
Eiffel 65,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,5QRAfvKPyQpwt897Jc0glg,68,https://open.spotify.com/track/5QRAfvKPyQpwt897Jc0glg,https://i.scdn.co/image/33034db3702a3af50888227a0b4014e2fe5cbc99,1998-11-11,0.259,0.822,283748,0.969,0.000162,7,0.39,-11.471,0,0.0582,128.007,4,0.765
Marty Stuart,Same Old Train,5KMWwtJv3Ll2ROZfMerQs0,55,https://open.spotify.com/track/5KMWwtJv3Ll2ROZfMerQs0,https://i.scdn.co/image/05767126d8b0794347f94230261b2520f0a616b6,1998-09-09,0.0942,0.352,361093,0.601,0.0105,7,0.117,-12.646,1,0.0323,107.546,4,0.37
Xscape,My Little Secret,0mIuIBLkaRvPCz6A0mPqbM,52,https://open.spotify.com/track/0mIuIBLkaRvPCz6A0mPqbM,https://i.scdn.co/image/ca367bf4bd815fa5f18f7a6e5897fab633dd2ba9,1998,0.371,0.814,268040,0.431,0.0,8,0.335,-9.125,1,0.0936,129.957,4,0.542
Hole,Malibu,5bVOX6eyHsML2sB4aMlZEi,61,https://open.spotify.com/track/5bVOX6eyHsML2sB4aMlZEi,https://i.scdn.co/image/3c8f984afbc1e00a066c58a0aee3dc8d697c0146,1998-01-01,0.000833,0.528,230040,0.904,0.0,2,0.174,-5.854,1,0.0343,122.371,4,0.678
Skid Row,18 and Life,1HlGblweLq0eAwnb0NY1EQ,59,https://open.spotify.com/track/1HlGblweLq0eAwnb0NY1EQ,https://i.scdn.co/image/50868026b1d9be3bcaaee2979c76193ad29e0db8,1998,0.000384,0.457,231280,0.794,7.26e-05,1,0.131,-6.624,0,0.0298,90.439,4,0.354
Steve Wariner,Holes In The Floor Of Heaven,1pZbQrvzJExLxvhYcrsYdG,54,https://open.spotify.com/track/1pZbQrvzJExLxvhYcrsYdG,https://i.scdn.co/image/c79607dd774e8677d641386492f745008b56794a,1998-01-01,0.54,0.66,288373,0.34,0.0,1,0.0804,-10.113,1,0.027,108.946,4,0.384
Laberinto,Esos Tus Ojos,6jKjHw2dVHv5zMC5XYoiLV,55,https://open.spotify.com/track/6jKjHw2dVHv5zMC5XYoiLV,https://i.scdn.co/image/698bb7c398ab49e3ebe0a0a899dfa2ab50f35162,1998-07-22,0.614,0.603,218523,0.528,2e-06,8,0.0697,-5.82,1,0.035,97.129,3,0.962
Elvin Bishop,Fooled Around And Fell In Love,6BJTagJUFeUxHpVWxTmatw,64,https://open.spotify.com/track/6BJTagJUFeUxHpVWxTmatw,https://i.scdn.co/image/7e1f8bc78b1f8e19e190c6809835f64b5c540373,1998-01-01,0.0427,0.634,274333,0.796,0.0309,10,0.155,-6.374,1,0.031,113.475,3,0.565
Max Coveri,RUNNING IN THE 90'S,6DlPa2rrVK3BygXJ48WYo3,60,https://open.spotify.com/track/6DlPa2rrVK3BygXJ48WYo3,https://i.scdn.co/image/27fb505b59bb8a5ca864ea7a51408fb9c7076251,1998-07-29,0.00482,0.541,283833,0.931,0.0127,1,0.0919,-5.484,1,0.0416,158.517,4,0.86
OutKast,Aquemini,4V3N5LvUOh3yDPP16cwAhE,56,https://open.spotify.com/track/4V3N5LvUOh3yDPP16cwAhE,https://i.scdn.co/image/f014ac0600bf1b1f5e5dada2d1a60e0ab19db69e,1998-09-29,0.245,0.722,319240,0.661,0.0,1,0.176,-5.711,0,0.373,89.294,4,0.156
Massive Attack,Angel,7uv632EkfwYhXoqf8rhYrg,64,https://open.spotify.com/track/7uv632EkfwYhXoqf8rhYrg,https://i.scdn.co/image/fea588a046b0f48120af06217d95eb0fa08ce8bf,1998-01-01,0.0157,0.714,379533,0.309,0.807,7,0.0777,-10.796,1,0.0291,107.346,4,0.0671
Pepe Aguilar,Directo Al Corazon,4XDADiwTlLFwK7dpN0nlVN,63,https://open.spotify.com/track/4XDADiwTlLFwK7dpN0nlVN,https://i.scdn.co/image/f311fa6ea4c1961995ab5727d9564344d73ee4ed,1998-07-28,0.867,0.298,198832,0.278,6.3e-05,4,0.128,-7.675,1,0.0322,183.167,4,0.292
Marilyn Manson,The Dope Show,1KQxH1Z1BiSo3MMukVpRfl,59,https://open.spotify.com/track/1KQxH1Z1BiSo3MMukVpRfl,https://i.scdn.co/image/ab7b7e37871e7aafc0b0cd6a330daeb30e69a6bd,1998-09-14,1.19e-05,0.559,226733,0.696,0.000407,4,0.884,-7.746,0,0.0414,134.952,4,0.382
DJ King Assassin,When I Die,6RKMgchAGN46tZXL93v9aN,53,https://open.spotify.com/track/6RKMgchAGN46tZXL93v9aN,https://i.scdn.co/image/051f26962d5de05473c81d5bdca3a410992f8f08,1998,0.000299,0.647,147093,0.644,1.76e-06,7,0.0926,-8.522,1,0.039,155.934,4,0.419
Shakira,"Ciega, Sordomuda",7jxHeJLVpnP7S08JFF4GBi,67,https://open.spotify.com/track/7jxHeJLVpnP7S08JFF4GBi,https://i.scdn.co/image/c1c19e804928746d417d38b9536fe6496d9cf790,1998-09-29,0.0438,0.746,267827,0.876,2.51e-06,1,0.112,-6.042,1,0.0345,119.97,4,0.928
Gang Starr,You Know My Steez,2C3QwVE5adFCVsCqayhPW7,54,https://open.spotify.com/track/2C3QwVE5adFCVsCqayhPW7,https://i.scdn.co/image/bbcbe0eec78fe83681967f73d03b13e5c31824e9,1998-03-31,0.19,0.695,247627,0.674,0.0,8,0.282,-7.014,1,0.364,179.583,4,0.887
